name,releasedate,copiessold,price,revenue,avgplaytime,reviewscore,publisherclass,publishers,developers,steamid
定制女友,2024-04-27,4027,8.99,27860.0,2.773132909438211,81,Indie,deep field,deep field,2791020
Coloring Game: Studio,2024-01-19,2378,19.99,27849.0,81.41022393033064,99,Indie,L. Stotch,L. Stotch,2231040
Tendryll,2024-04-30,1865,17.99,27758.0,12.719284465800968,87,Indie,Brute Farce,Brute Farce,1915780
Mirage Feathers,2024-09-06,6859,4.99,27717.0,1.1706268898128227,100,Indie,oyasumi Workshop,oyasumi Workshop,2719060
2番線 | Nibansen,2024-01-18,6602,4.99,27542.0,1.2029222325691964,81,Indie,MFC STUDIO,MFC STUDIO,2699510
DEATHWATCHERS,2024-07-12,2826,11.99,27529.0,6.492901941159936,91,Indie,SWAIN GAMES,SWAIN GAMES,2599370
Flying High,2024-05-10,2377,14.99,27484.0,0.8681633293180607,65,Indie,Affect3D,Affect3D,2909410
Ufouria: The Saga 2,2024-02-28,1279,24.99,27474.0,3.297133300428793,94,Indie,SUNSOFT,SUNSOFT,2685090
Necroking,2024-09-04,6773,4.99,27369.0,3.0815895559559663,85,Indie,Alawar,KORO.GAMES,2852980
Captain Firehawk and the Laser Love Situation,2024-02-09,3431,9.99,27368.0,1.8602411007512127,76,Indie,Portland Caviar,Portland Caviar,2054690
Right and Down and Dice,2024-01-23,2950,11.99,27336.0,8.24860646412999,87,Indie,mc2games,mc2games,2228010
On Dark Terms,2024-02-06,2200,7.99,27226.0,6.475462698359167,69,Indie,Dimensionless Games,Dimensionless Games,2159530
Gym Manager,2024-07-31,3748,9.99,27202.0,4.666010702410133,73,AA,PlayWay S.A.,Han GAMES,2337460
Saving Mrs. Hinako,2024-03-11,2478,14.99,27180.0,3.805478102347424,86,Indie,Shiravune,Studio Pork,2626240
Sister's Curriculum,2024-04-18,1929,16.99,27085.0,5.77800014739662,97,Indie,WAZAZAK,WAZAZAK,2865590
The Witch's Cauldron,2024-01-24,10808,7.99,27071.0,3.7517024297797663,92,Indie,Harvey games,Harvey games,2251010
ODDADA,2024-08-15,3310,9.99,27005.0,2.9408445555530567,97,Indie,Sven Ahlgrimm,"Sven Ahlgrimm,Mathilde Hoffmann,Bastian Clausdorff",1627870
所谓侠客 So-called Hero,2024-02-14,1774,18.99,26984.0,11.002328810495042,84,Indie,NewSmile Games,NewSmile Games,1116080
Dojo Masters,2024-07-17,2357,14.99,26897.0,4.809430831728505,95,Indie,Pixeled Vision,Pixeled Vision,2538000
Speed Crew,2024-01-31,1695,19.99,26802.0,3.066085176262451,100,Indie,Wild Fields,Wild Fields,2367480
Voyager-19,2024-05-19,8793,3.99,26619.0,0.6285501794880277,90,Indie,Deep Root Interactive,Deep Root Interactive,2925510
Speedway Challenge 2024,2024-04-01,18737,0.0,26579.0,17.326728582072302,71,Indie,Artur Berkowski Berobasket,Artur Berkowski Berobasket,2750960
Baisu,2024-05-30,2991,9.99,26577.0,1.3899661468439524,87,Indie,Tripleducks studio,Tripleducks studio,2821850
DunHero,2024-02-12,4457,7.99,26516.0,7.653905015173358,90,Indie,Dev Kacper,Dev Kacper,2270210
Empires Shall Fall,2024-02-19,2586,12.99,26457.0,5.06349975482512,92,Indie,"Weird Penguin Games,Electronic Sheep Games",Weird Penguin Games,1477170
Night Bus,2024-04-08,6008,4.99,26436.0,0.8439386307135183,89,Indie,Liquid Static Studio,Liquid Static Studio,2820800
